motif	factors
T-box_Average_30	EOMES,TBR1,TBX2,TBX21,TBX3
T-box_Average_31	T,TBX19
T-box_Average_26	EOMES,TBX1,TBX10,TBX20,TBX21
T-box_M6323_1.01	TBX2,TBX3
T-box_Average_23	EOMES,TBX21
T-box_M5698_1.01	TBX1,TBX10,TBX20
T-box_M5694_1.01	TBX1,TBX10,TBX20
T-box_Average_6	TBX1,TBX10,TBX15,TBX18,TBX20,TBX22
TBP_Average_1	TBP,TBPL2
TBP_M3884_1.01	TBP,TBPL2
TBP_M3881_1.01	TBP,TBPL2
TBP_M1511_1.01	TBP,TBPL2
TEA_Average_5	TEAD1,TEAD3,TEAD4
TEA_Average_1	TEAD1,TEAD3
TEA_M6327_1.01	TEAD3
TEA_M6328_1.01	TEAD4
THAP_finger_M2259_1.01	THAP1
THAP_finger_M4506_1.01	THAP1
THAP_finger_M1539_1.01	
THAP_finger_M1538_1.01	PRKRIR
THAP_finger_M1541_1.01	
Unknown_M5777_1.01	ZBED1
Unknown_M3394_1.01	TOPORS
Unknown_M3812_1.01	SPZ1
Unknown_M6261_1.01	PURA
Unknown_M3565_1.01	EP300
Unknown_M6375_1.01	ZNF350
Unknown_M6200_1.01	NR0B1
Unknown_M1803_1.01	SPZ1
Unknown_M6305_1.01	SPZ1
Unknown_M6097_1.01	HLTF
Unknown_M3387_1.01	LMO2
Unknown_M1801_1.01	
Unknown_M3386_1.01	LMO2
Unknown_M6029_1.01	ENO1
Unknown_Average_6	BPTF
Unknown_M5141_1.01	CPEB1
Unknown_M6235_1.01	CBFB
Unknown_M6070_1.01	FUBP1
Unknown_Average_4	CEBPZ,NFYB,NFYC
Unknown_Average_5	NRF1
