motif	factors
Forkhead_Average_66	FOXA1,FOXA2,FOXA3,FOXA4,FOXB1,FOXB2,FOXC1,FOXC2,FOXD1,FOXD2,FOXD3,FOXD4,FOXD4L1,FOXD4L1.1,FOXD4L1.2,FOXD4L3,FOXD4L5,FOXD4L6,FOXE1,FOXE3,FOXF1,FOXF1A,FOXF2,FOXG1,FOXI1,FOXI2,FOXI3,FOXI4.1,FOXI4.2,FOXJ1,FOXJ1.2,FOXJ2,FOXJ3,FOXK1,FOXK2,FOXL1,FOXL2,FOXQ1,FOXS1,KIAA0415
Forkhead_M5254_1.01	FOXA1,FOXA2,FOXA3,FOXA4,FOXB1,FOXB2,FOXC1,FOXC2,FOXD1,FOXD2,FOXD3,FOXD4,FOXD4L1,FOXD4L1.1,FOXD4L1.2,FOXD4L3,FOXD4L5,FOXD4L6,FOXE1,FOXE3,FOXF1,FOXF1A,FOXF2,FOXI1,FOXI2,FOXI3,FOXI4.1,FOXI4.2,FOXJ1,FOXJ1.2,FOXJ2,FOXJ3,FOXK2,FOXL1,FOXL2,FOXQ1,FOXS1,KIAA0415
Forkhead_M0644_1.01	FOXM1
Forkhead_M6063_1.01	FOXM1
Forkhead_Average_104	FOXA1,FOXA2,FOXA3,FOXA4,FOXB1,FOXB2,FOXC1,FOXC2,FOXD1,FOXD2,FOXD3,FOXD4,FOXD4L1,FOXD4L1.1,FOXD4L1.2,FOXD4L3,FOXD4L5,FOXD4L6,FOXE1,FOXE3,FOXF1,FOXF1A,FOXF2,FOXI1,FOXI2,FOXI3,FOXI4.1,FOXI4.2,FOXJ1,FOXJ1.2,FOXJ2,FOXJ3,FOXK2,FOXL1,FOXL2,FOXQ1,FOXS1,KIAA0415
Forkhead_Average_98	FOXA1,FOXA2,FOXA3,FOXA4,FOXB1,FOXB2,FOXC1,FOXC2,FOXD1,FOXD2,FOXD3,FOXD4,FOXD4L1,FOXD4L1.1,FOXD4L1.2,FOXD4L3,FOXD4L5,FOXD4L6,FOXE1,FOXE3,FOXF1,FOXF1A,FOXF2,FOXG1,FOXI1,FOXI2,FOXI3,FOXI4.1,FOXI4.2,FOXJ1,FOXJ1.2,FOXJ2,FOXJ3,FOXK1,FOXK2,FOXL1,FOXL2,FOXO1,FOXO3,FOXO4,FOXO6,FOXP1,FOXP2,FOXP3,FOXP4,FOXQ1,FOXS1,GM5294,KIAA0415
Forkhead_Average_101	FOXA1,FOXA2,FOXA3,FOXA4,FOXB1,FOXB2,FOXC1,FOXC2,FOXD1,FOXD2,FOXD3,FOXD4,FOXD4L1,FOXD4L1.1,FOXD4L1.2,FOXD4L3,FOXD4L5,FOXD4L6,FOXE1,FOXE3,FOXF1,FOXF1A,FOXF2,FOXI1,FOXI2,FOXI3,FOXI4.1,FOXI4.2,FOXJ1,FOXJ1.2,FOXJ2,FOXJ3,FOXK1,FOXK2,FOXL1,FOXL2,FOXO1,FOXO3,FOXO4,FOXO6,FOXP1,FOXQ1,FOXS1,KIAA0415
Forkhead_Average_103	FOXA1,FOXA2,FOXA3,FOXA4,FOXB1,FOXB2,FOXC1,FOXC2,FOXD1,FOXD2,FOXD3,FOXD4,FOXD4L1,FOXD4L1.1,FOXD4L1.2,FOXD4L3,FOXD4L5,FOXD4L6,FOXE1,FOXE3,FOXF1,FOXF1A,FOXF2,FOXI1,FOXI2,FOXI3,FOXI4.1,FOXI4.2,FOXJ1,FOXJ1.2,FOXJ2,FOXJ3,FOXK2,FOXL1,FOXL2,FOXQ1,FOXS1,KIAA0415
Forkhead_Average_14	FOXA1,FOXA2,FOXA3,FOXA4,FOXB1,FOXB2,FOXC1,FOXC2,FOXD1,FOXD2,FOXD3,FOXD4,FOXD4L1,FOXD4L1.1,FOXD4L1.2,FOXD4L3,FOXD4L5,FOXD4L6,FOXE1,FOXE3,FOXF1,FOXF1A,FOXF2,FOXI1,FOXI2,FOXI3,FOXI4.1,FOXI4.2,FOXJ1,FOXJ1.2,FOXJ2,FOXJ3,FOXK2,FOXL1,FOXL2,FOXQ1,FOXS1,KIAA0415
Forkhead_M6055_1.01	FOXA1,FOXA2,FOXA3,FOXA4,FOXB1,FOXB2,FOXC1,FOXC2,FOXD1,FOXD2,FOXD3,FOXD4,FOXD4L1,FOXD4L1.1,FOXD4L1.2,FOXD4L3,FOXD4L5,FOXD4L6,FOXE1,FOXE3,FOXF1,FOXF1A,FOXF2,FOXI1,FOXI2,FOXI3,FOXI4.1,FOXI4.2,FOXJ1,FOXJ1.2,FOXJ2,FOXJ3,FOXK2,FOXL1,FOXL2,FOXQ1,FOXS1,KIAA0415
Forkhead_Average_105	FOXA1,FOXA2,FOXA3,FOXA4,FOXB1,FOXB2,FOXC1,FOXC2,FOXD1,FOXD2,FOXD3,FOXD4,FOXD4L1,FOXD4L1.1,FOXD4L1.2,FOXD4L3,FOXD4L5,FOXD4L6,FOXE1,FOXE3,FOXF1,FOXF1A,FOXF2,FOXI1,FOXI2,FOXI3,FOXI4.1,FOXI4.2,FOXJ1,FOXJ1.2,FOXJ2,FOXJ3,FOXK2,FOXL1,FOXL2,FOXQ1,FOXS1,KIAA0415
Forkhead_M3127_1.01	FOXA1,FOXA2,FOXA3,FOXA4,FOXB1,FOXC1,FOXC2,FOXD1,FOXD2,FOXD3,FOXD4,FOXD4L1,FOXD4L1.1,FOXD4L1.2,FOXD4L3,FOXD4L5,FOXD4L6,FOXE1,FOXE3,FOXF1,FOXF1A,FOXF2,FOXI1,FOXI2,FOXI3,FOXI4.1,FOXI4.2,FOXJ1,FOXJ1.2,FOXJ2,FOXJ3,FOXK2,FOXL1,FOXL2,FOXS1,KIAA0415
Forkhead_M6068_1.01	FOXP3
Forkhead_Average_20	FOXO1,FOXO3,FOXO4,FOXO6
Forkhead_M5271_1.01	FOXA1,FOXA2,FOXA3,FOXA4,FOXB1,FOXB2,FOXC1,FOXC2,FOXD1,FOXD2,FOXD3,FOXD4,FOXD4L1,FOXD4L1.1,FOXD4L1.2,FOXD4L3,FOXD4L5,FOXD4L6,FOXE1,FOXE3,FOXF1,FOXF1A,FOXF2,FOXI1,FOXI2,FOXI3,FOXI4.1,FOXI4.2,FOXJ1,FOXJ1.2,FOXJ2,FOXJ3,FOXK2,FOXL1,FOXL2,FOXQ1,FOXS1,KIAA0415
