Motif	Factor	Evidence	Curated
HSF1_MOUSE.H11MO.0.A	Hsf1	ChIP-seq	Y
HSF2_MOUSE.H11MO.0.A	Hsf2	ChIP-seq	Y
HTF4_MOUSE.H11MO.0.A	Tcf12	ChIP-seq	Y
HXA10_MOUSE.H11MO.0.C	Hoxa10	ChIP-seq	Y
HXA13_MOUSE.H11MO.0.C	Hoxa13	ChIP-seq	Y
HXA1_MOUSE.H11MO.0.C	Hoxa1	ChIP-seq	Y
HXA9_MOUSE.H11MO.0.B	Hoxa9	ChIP-seq	Y
HXB4_MOUSE.H11MO.0.A	Hoxb4	ChIP-seq	Y
HXB7_MOUSE.H11MO.0.C	Hoxb7	ChIP-seq	Y
HXB8_MOUSE.H11MO.0.C	Hoxb8	ChIP-seq	Y
HXC9_MOUSE.H11MO.0.A	Hoxc9	ChIP-seq	Y
IKZF1_MOUSE.H11MO.0.C	Ikzf1	ChIP-seq	Y
INSM1_MOUSE.H11MO.0.C	Insm1	ChIP-seq	Y
IRF1_MOUSE.H11MO.0.A	Irf1	ChIP-seq	Y
IRF2_MOUSE.H11MO.0.B	Irf2	ChIP-seq	Y
IRF3_MOUSE.H11MO.0.A	Irf3	ChIP-seq	Y
IRF4_MOUSE.H11MO.0.A	Irf4	ChIP-seq	Y
IRF7_MOUSE.H11MO.0.C	Irf7	ChIP-seq	Y
IRF8_MOUSE.H11MO.0.A	Irf8	ChIP-seq	Y
IRF9_MOUSE.H11MO.0.C	Irf9	ChIP-seq	Y
ISL1_MOUSE.H11MO.0.A	Isl1	ChIP-seq	Y
ITF2_MOUSE.H11MO.0.B	Tcf4	ChIP-seq	Y
JUNB_MOUSE.H11MO.0.A	Junb	ChIP-seq	Y
JUND_MOUSE.H11MO.0.A	Jund	ChIP-seq	Y
JUN_MOUSE.H11MO.0.A	Jun	ChIP-seq	Y
KAISO_MOUSE.H11MO.0.B	Zbtb33	ChIP-seq	Y
KLF15_MOUSE.H11MO.0.A	Klf15	ChIP-seq	Y
KLF1_MOUSE.H11MO.0.A	Klf1	ChIP-seq	Y
KLF3_MOUSE.H11MO.0.A	Klf3	ChIP-seq	Y
KLF4_MOUSE.H11MO.0.A	Klf4	ChIP-seq	Y
KLF5_MOUSE.H11MO.0.A	Klf5	ChIP-seq	Y
KLF6_MOUSE.H11MO.0.B	Klf6	ChIP-seq	Y
KLF8_MOUSE.H11MO.0.C	Klf8	ChIP-seq	Y
LEF1_MOUSE.H11MO.0.B	Lef1	ChIP-seq	Y
LHX2_MOUSE.H11MO.0.A	Lhx2	ChIP-seq	Y
LHX3_MOUSE.H11MO.0.C	Lhx3	ChIP-seq	Y
LHX6_MOUSE.H11MO.0.C	Lhx6	ChIP-seq	Y
